pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
153,155.555,121.114,29.62,4.707,0
154,156.163,119.387,32.14,4.53,0
155,159.644,114.889,39.926,4.666,0
156,146.164,101.93,39.571,4.524,0
157,159.741,123.45,31.051,5.111,0
158,156.571,116.716,35.054,4.651,0
159,163.869,116.444,42.535,4.775,0
160,159.041,111.179,43.124,4.584,0
161,151.65,119.158,27.412,4.9,0
162,166.151,128.021,32.869,5.064,0
163,152.844,99.951,47.719,5.004,0
164,137.484,105.988,26.877,4.517,0
165,161.909,126.058,30.767,4.921,0
166,159.527,124.255,30.256,4.902,0
167,159.338,113.257,41.039,4.81,0
168,160.167,114.149,41.237,4.634,0
169,137.631,105.072,27.841,4.613,0
170,145.809,109.8,30.848,5.031,0
171,159.308,108.225,46.28,4.689,0
172,142.733,108.062,29.767,4.759,0
173,152.123,120.065,27.19,4.748,0
174,163.027,123.087,34.87,4.932,0
175,163.545,118.233,39.962,5.183,0
176,142.721,95.476,42.725,4.399,0
177,142.254,109.501,27.811,4.797,0
178,123.132,89.361,29.006,4.588,0
179,124.293,91.362,27.986,4.814,0
180,122.194,89.377,28.15,4.573,0
181,118.328,86.053,27.672,4.491,0
182,124.236,91.523,28.025,4.608,0
183,129.286,97.244,26.944,4.951,0
