pair,wall_ms,superpoint_ms,mambaglue_ms,geometry_ms,degenerate
146,307.683,213.257,77.536,16.809,0
147,307.805,213.03,77.931,16.762,0
148,307.211,212.864,77.496,16.769,0
149,307.836,213.519,77.486,16.75,0
150,307.426,213.099,77.694,16.551,0
151,311.683,213.68,81.019,16.893,0
152,307.889,213.023,77.992,16.784,0
153,307.76,212.95,77.906,16.812,0
154,306.644,212.46,77.429,16.669,0
155,308.295,213.759,77.625,16.827,0
156,306.633,211.717,77.998,16.834,0
157,307.622,212.847,78.011,16.677,0
158,309.647,213.383,77.74,18.442,0
159,307.888,213.24,78.094,16.475,0
160,306.976,212.511,77.623,16.755,0
161,308.734,212.263,79.581,16.808,0
162,307.697,213.043,77.882,16.689,0
163,310.526,215.958,77.728,16.753,0
164,309.98,216.023,77.067,16.81,0
165,307.637,212.733,77.933,16.887,0
166,311.574,215.136,79.726,16.629,0
167,309.64,215.183,77.56,16.797,0
168,309.3,213.454,78.944,16.817,0
169,307.957,213.595,77.471,16.81,0
170,307.941,212.526,78.63,16.697,0
171,307.606,213.018,77.858,16.65,0
172,307.597,212.615,78.083,16.803,0
173,306.625,211.958,77.797,16.786,0
174,308.299,213.653,77.832,16.732,0
175,308.469,213.391,78.147,16.836,0
176,310.614,215.968,77.781,16.777,0
177,308.081,213.315,77.891,16.796,0
178,306.064,211.691,77.597,16.688,0
179,307.084,212.726,77.654,16.625,0
180,306.392,211.83,77.781,16.7,0
181,310.311,213.707,77.666,18.859,0
182,308.966,213.065,77.563,18.239,0
183,306.455,212.267,77.388,16.717,0
184,307.771,213.37,77.592,16.724,0
185,306.964,212.383,77.757,16.741,0
186,306.516,211.687,77.739,17.009,0
187,506.67,212.646,78.927,215.012,0
188,597.672,210.015,79.211,308.354,0
189,386.415,205.794,78.764,101.767,0
190,420.994,199.5,79.532,141.878,0
191,402.235,194.939,79.429,127.783,0
192,371.176,195.254,77.853,97.986,0
193,390.457,195.025,78.904,116.443,0
194,391.219,194.564,79.143,117.423,0
195,378.549,194.493,79.426,104.547,0
196,390.846,195.514,79.17,116.07,0
197,406.213,192.805,79.454,133.871,0
198,418.383,194.327,79.219,144.754,0
199,350.308,194.017,79.547,76.66,0
200,379.634,195.652,80.857,103.041,0
201,385.69,194.212,78.423,112.972,0
202,367.108,197.149,82.386,87.486,0
203,385.722,197.347,79.778,108.511,0
204,405.359,195.175,78.801,131.29,0
205,416.099,196.275,80.455,139.268,0
206,378.184,195.972,79.484,102.644,0
207,344.72,196.473,79.732,68.428,0
208,371.983,196.513,78.876,96.51,0
209,391.394,195.907,79.64,115.755,0
210,413.124,195.259,79.667,138.109,0
211,383.631,196.095,79.528,107.925,0
212,380.154,196.668,79.006,104.388,0
213,380.978,200.391,78.792,101.704,0
214,430.827,200.335,78.678,151.721,0
215,425.569,196.883,78.567,150.036,0
216,396.234,195.288,78.401,122.462,0
217,387.452,196.597,77.662,113.101,0
218,368.376,197.203,78.927,92.162,0
219,393.726,197.609,79.079,116.942,0
220,426.682,197.34,78.935,150.323,0
221,413.761,195.912,78.146,139.61,0
222,386.296,196.758,80.917,108.532,0
223,393.063,195.788,78.313,118.878,0
224,417.733,197.072,78.952,141.626,0
225,368.825,197.021,78.809,92.912,0
226,411.47,196.896,78.368,136.12,0
227,403.237,196.799,78.105,128.252,0
228,386.009,196.614,78.729,110.579,0
229,411.141,197.18,77.197,136.661,0
230,389.679,196.394,78.898,114.304,0
231,422.024,198.013,78.85,145.068,0
232,398.181,196.114,78.944,123.031,0
